epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1682.39,1.10578,0.78341,0.98796,0.48508,0.52369,0.42191,0.29276,1.29497,1.17755,1.05973,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125
31,1736.88,1.12529,0.78639,0.99638,0.48092,0.5324,0.42185,0.29155,1.29184,1.18781,1.05959,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
32,1790.43,1.11142,0.78023,0.99225,0.48235,0.52731,0.41842,0.28975,1.29165,1.18203,1.05768,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375
33,1844.4,1.09475,0.77449,0.98682,0.49148,0.51072,0.41269,0.28568,1.28971,1.20512,1.05578,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229
34,1897.84,1.09772,0.77087,0.98558,0.48306,0.52691,0.42179,0.29302,1.28603,1.19065,1.05711,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625
35,1953.33,1.09412,0.75603,0.9839,0.49539,0.52495,0.42083,0.29237,1.28788,1.18763,1.05647,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425
36,2014.13,1.10659,0.76514,0.98725,0.47785,0.55975,0.42387,0.29399,1.28659,1.17683,1.05593,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875
37,2069.07,1.09136,0.75226,0.98643,0.47173,0.55635,0.42369,0.29359,1.28571,1.18376,1.05657,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795
38,2123.98,1.08901,0.74617,0.98246,0.50289,0.53083,0.42599,0.29674,1.28438,1.18467,1.05725,0.000501375,0.000167125,0.000501375,0.000167125,0.000501375,0.000167125,0.000501375,0.000167125
39,2180.48,1.0869,0.75074,0.98304,0.49672,0.53362,0.43153,0.30018,1.28396,1.17739,1.0566,0.00046425,0.00015475,0.00046425,0.00015475,0.00046425,0.00015475,0.00046425,0.00015475
40,2237.56,1.08739,0.74428,0.98314,0.49951,0.53833,0.4273,0.29715,1.28825,1.17749,1.05725,0.000427125,0.000142375,0.000427125,0.000142375,0.000427125,0.000142375,0.000427125,0.000142375
41,2325.41,1.0935,0.73788,0.99162,0.49099,0.53682,0.42051,0.29157,1.28978,1.17509,1.05949,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
42,2379.64,1.08245,0.7218,0.98599,0.48151,0.56823,0.42043,0.29252,1.28835,1.20427,1.05826,0.000352875,0.000117625,0.000352875,0.000117625,0.000352875,0.000117625,0.000352875,0.000117625
43,2433.16,1.07636,0.71185,0.98526,0.47307,0.56637,0.41967,0.29178,1.28542,1.19992,1.05737,0.00031575,0.00010525,0.00031575,0.00010525,0.00031575,0.00010525,0.00031575,0.00010525
44,2486.6,1.07341,0.70469,0.98443,0.47572,0.56745,0.42027,0.29224,1.28509,1.20541,1.05795,0.000278625,9.2875e-05,0.000278625,9.2875e-05,0.000278625,9.2875e-05,0.000278625,9.2875e-05
45,2540.06,1.07194,0.70425,0.98236,0.47825,0.57229,0.42286,0.29423,1.28442,1.21174,1.05641,0.0002415,8.05e-05,0.0002415,8.05e-05,0.0002415,8.05e-05,0.0002415,8.05e-05
46,2594.8,1.07054,0.69836,0.98242,0.47664,0.57423,0.42307,0.29378,1.28682,1.20585,1.05869,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05,0.000204375,6.8125e-05
47,2650.01,1.06614,0.69285,0.98503,0.4769,0.57439,0.42317,0.29372,1.28548,1.20667,1.05814,0.00016725,5.575e-05,0.00016725,5.575e-05,0.00016725,5.575e-05,0.00016725,5.575e-05
48,2703.89,1.06411,0.6933,0.97913,0.48427,0.57238,0.42431,0.29515,1.28264,1.20273,1.05727,0.000130125,4.3375e-05,0.000130125,4.3375e-05,0.000130125,4.3375e-05,0.000130125,4.3375e-05
49,2758.73,1.06351,0.68735,0.98073,0.4874,0.56541,0.4222,0.29276,1.28377,1.19964,1.05519,9.3e-05,3.1e-05,9.3e-05,3.1e-05,9.3e-05,3.1e-05,9.3e-05,3.1e-05
50,2812.94,1.06555,0.69103,0.98094,0.49048,0.56374,0.42062,0.29179,1.28302,1.20243,1.05668,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05,5.5875e-05,1.8625e-05
